Updated at 19:42:44,Price Close,,,,,,,,,,,,
,SPY,IWM,VEA,VWO,IEF.O,LQD,HYG,TIP,VNQ,PSP,WOOD.O,IGF.O,
12/8/2016,225.15,138.04,37.01,36.87,105.13,116.65,86.45,113.32,83.3,56.65,55.0723,38.99,
12/9/2016,226.51,138.31,37.12,36.7,104.59,116.2,86.49,112.8,83.21,56.8,54.76,39.19,
12/12/2016,226.25,136.85,37,36.4,104.61,116.09,86.37,112.78,83.76,56.525,54.48,39.39,
12/13/2016,227.76,136.86,37.39,36.77,104.67,116.35,86.58,112.74,83.72,56.839,54.6685,39.89,
12/14/2016,225.88,135.15,36.78,35.71,103.8,115.61,85.93,111.85,81.89,55.8,53.82,39.2,
12/15/2016,226.81,136.16,36.72,35.87,103.51,115.69,85.97,111.15,81.41,55.8,53.58,39.32,
12/16/2016,225.04,135.91,36.73,35.65,103.64,115.6,86.05,111.09,82.63,55.3,53.75,39.58,
12/19/2016,225.53,136.8,36.7,35.41,104.12,116.16,86.27,111.55,83.52,55.325,53.74,39.68,
12/20/2016,226.4,137.96,36.78,35.3,103.9,116.09,86.39,111.66,83.71,55.6,53.94,39.48,
12/21/2016,225.77,137.06,36.78,35.19,104.07,116.46,86.54,111.94,82.44,55.45,54.01,39.54,
12/22/2016,225.38,135.32,36.38,34.86,103.86,116.15,86.44,112.29,80.61,55.25,53.43,38.94,
12/23/2016,225.71,136.04,36.46,35.03,103.96,116.33,86.6,112.42,80.82,55.25,53.47,39.12,
12/27/2016,226.27,136.65,36.41,35.2,103.81,116.12,86.52,112.37,80.99,55.325,53.58,39.18,
12/28/2016,224.4,135.25,36.34,35.42,104.19,116.55,86.4,112.66,80.5,55,53.35,38.79,
12/29/2016,224.35,135.37,36.47,35.97,104.51,117,86.52,112.8,81.5,55.25,53.7956,39.14,
12/30/2016,223.53,134.85,36.54,35.78,104.82,117.18,86.55,113.17,82.53,55.55,53.6,39.04,
1/3/2017,225.24,135.52,36.77,36.17,104.77,117.28,86.91,113.28,82.8,55.7,53.82,39.19,
1/4/2017,226.58,137.78,37.22,36.5,104.89,117.68,87.38,113.53,84.01,56.75,54.3,39.41,
1/5/2017,226.4,136.19,37.55,36.88,105.57,118.31,87.25,113.92,84.28,57.15,54.26,39.64,
1/6/2017,227.21,135.69,37.4,36.73,105.09,117.69,87.23,113.45,84.29,57.1,54.26,39.6,
1/9/2017,226.46,134.8,37.31,36.67,105.49,117.92,87.21,113.63,83.53,56.9,53.9092,39.5,
1/10/2017,226.46,136.09,37.35,36.87,105.44,117.85,87.22,113.72,82.82,56.7,54.2378,39.25,
1/11/2017,227.1,136.33,37.61,37.19,105.56,118.03,87.27,114.08,82.31,56.95,54.38,39.575,
1/12/2017,226.53,135.28,37.64,37.28,105.62,118.02,87.29,114.18,82.73,57,54.5797,39.69,
1/13/2017,227.05,136.26,37.78,37.24,105.39,117.78,87.32,113.98,82.61,57.075,54.88,39.79,
1/17/2017,226.25,134.41,37.68,37.2,105.92,118.29,87.23,114.34,83.25,56.95,54.2881,39.93,
1/18/2017,226.75,134.85,37.51,37.06,105.17,117.51,87.31,113.78,83.39,56.8,54.12,39.75,
1/19/2017,225.91,133.75,37.44,36.96,104.77,117.11,87.03,113.69,82.54,56.65,54.17,39.54,
1/20/2017,226.74,134.44,37.62,37.02,104.82,117.32,87.2,113.71,83.14,56.95,54.34,39.77,
1/23/2017,226.15,133.88,37.7,37.53,105.37,117.86,87.2,114.17,83.84,57.1,54.66,39.81,
1/24/2017,227.6,135.93,37.86,37.8,104.97,117.51,87.26,113.98,83.86,57.45,55.4,40.07,
1/25/2017,229.57,137.21,38.23,38.13,104.45,117.06,87.57,113.61,83.31,57.95,56.49,40.05,
1/26/2017,229.33,136.66,38.11,37.97,104.59,117.2,87.53,113.78,83.15,58.1,55.98,39.89,
1/27/2017,228.97,136.19,38.02,38.01,104.72,117.34,87.61,113.97,82.34,57.95,55.76,39.63,
1/30/2017,227.55,134.29,37.75,37.82,104.69,117.14,87.43,113.94,81.78,57.5,54.96,39.35,
1/31/2017,227.53,135.23,37.88,37.84,105.05,117.35,87.34,114.18,82.37,57.7,54.74,39.72,
2/1/2017,227.62,135.15,38.01,37.92,104.69,116.89,87.28,113.94,81.38,58.05,55.02,39.43,
2/2/2017,227.77,134.81,38.07,38.05,104.73,116.92,87.33,113.95,82.35,57.95,55.12,39.7,
2/3/2017,229.34,136.87,38.23,38.29,104.81,117.05,87.48,113.83,82.8,58.3,55.08,39.95,
2/6/2017,228.93,135.84,37.95,38.2,105.31,117.42,87.42,114.11,82.66,58.2,54.8,39.71,
2/7/2017,228.94,135.24,37.92,38.06,105.5,117.62,87.29,114.06,82.37,58.4,55.205,39.78,
2/8/2017,229.24,135,37.98,38.36,105.93,118.03,87.35,114.33,83.02,58.65,55.65,40.11,
2/9/2017,230.6,136.9,38.12,38.56,105.3,117.56,87.47,114.11,83.22,58.625,55.7699,40.17,
2/10/2017,231.51,137.94,38.26,38.91,105.23,117.53,87.53,114.2,83.81,58.75,55.91,40.37,
